epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,585.019,1.83151,1.64374,1.97824,0.8883,0.6451,0.68606,0.47559,1.0378,0.78221,1.85934,0.000658009,0.000658009,0.000658009
2,1096.45,1.04722,0.68339,1.76249,0.9425,0.42615,0.49175,0.36765,0.87584,0.5978,1.73831,0.00129845,0.00129845,0.00129845
3,1510.75,0.97879,0.62016,1.74314,0.95366,0.84706,0.87843,0.65072,0.88398,0.56056,1.67484,0.00191248,0.00191248,0.00191248
4,2389.88,0.92335,0.58761,1.73931,0.95298,0.84811,0.88336,0.67572,0.82469,0.56912,1.74707,0.0018812,0.0018812,0.0018812
5,2983.52,0.8691,0.55564,1.71425,0.95445,0.84751,0.88531,0.67606,0.81286,0.50648,1.68199,0.0018416,0.0018416,0.0018416
6,3273.66,0.83306,0.53336,1.71262,0.9581,0.84471,0.88763,0.66807,0.91079,0.50663,1.65371,0.001802,0.001802,0.001802
7,4064.46,0.80558,0.51564,1.70639,0.95214,0.85818,0.89257,0.71618,0.71388,0.48442,1.68615,0.0017624,0.0017624,0.0017624
8,4657.99,0.79564,0.50482,1.68916,0.95894,0.85465,0.89197,0.70603,0.73219,0.46944,1.68012,0.0017228,0.0017228,0.0017228
9,5379.07,0.77402,0.48972,1.6931,0.95989,0.85886,0.89919,0.74377,0.6471,0.44661,1.67947,0.0016832,0.0016832,0.0016832
10,6186.49,0.74925,0.48302,1.69246,0.9556,0.86297,0.90075,0.72081,0.71894,0.45044,1.65115,0.0016436,0.0016436,0.0016436
11,7271.05,0.72652,0.47378,1.67914,0.95811,0.84724,0.89722,0.73441,0.66281,0.45399,1.68101,0.001604,0.001604,0.001604
12,8554.99,0.72937,0.46874,1.68526,0.95506,0.8633,0.90173,0.74042,0.64493,0.42904,1.66653,0.0015644,0.0015644,0.0015644
13,10434.2,0.70858,0.46136,1.69285,0.95915,0.85836,0.9015,0.74202,0.65247,0.43521,1.68112,0.0015248,0.0015248,0.0015248
14,10838.5,0.7028,0.45385,1.67978,0.95052,0.86588,0.90049,0.70924,0.71831,0.44314,1.65644,0.0014852,0.0014852,0.0014852
15,11233.5,0.69282,0.44908,1.67675,0.95644,0.86475,0.90619,0.72299,0.73413,0.4417,1.63082,0.0014456,0.0014456,0.0014456
16,12133.5,0.69734,0.44954,1.67551,0.95636,0.86339,0.89848,0.72144,0.72404,0.43732,1.6649,0.001406,0.001406,0.001406
17,12412.3,0.67773,0.44075,1.66815,0.96879,0.85844,0.90711,0.73431,0.68927,0.41567,1.64243,0.0013664,0.0013664,0.0013664
18,12694.4,0.68051,0.44263,1.67309,0.95772,0.86571,0.9075,0.75329,0.62711,0.4103,1.64331,0.0013268,0.0013268,0.0013268
19,12982.5,0.66971,0.43346,1.66591,0.95871,0.86317,0.908,0.72997,0.69798,0.42147,1.64062,0.0012872,0.0012872,0.0012872
20,13267.9,0.66251,0.43135,1.66923,0.95587,0.86469,0.90416,0.75477,0.6276,0.39918,1.65251,0.0012476,0.0012476,0.0012476
21,13550.4,0.65901,0.42698,1.66426,0.95934,0.86151,0.9042,0.73878,0.65873,0.41024,1.65956,0.001208,0.001208,0.001208
22,13982.5,0.64878,0.42171,1.65849,0.95706,0.86842,0.90836,0.74499,0.66242,0.40987,1.62765,0.0011684,0.0011684,0.0011684
23,14636.9,0.64199,0.41967,1.67096,0.95864,0.86895,0.91026,0.75959,0.59959,0.39088,1.63596,0.0011288,0.0011288,0.0011288
24,14920.9,0.64876,0.42016,1.65762,0.96413,0.86359,0.908,0.72781,0.72825,0.41649,1.62302,0.0010892,0.0010892,0.0010892
25,15214.4,0.65389,0.41936,1.65797,0.95729,0.8713,0.91203,0.76682,0.60834,0.38901,1.63085,0.0010496,0.0010496,0.0010496
26,15630.9,0.64237,0.41484,1.66969,0.96252,0.8678,0.91209,0.76259,0.60138,0.3911,1.64616,0.00101,0.00101,0.00101
27,16303.5,0.63216,0.41039,1.66073,0.9607,0.86891,0.90952,0.73001,0.72677,0.41032,1.62394,0.0009704,0.0009704,0.0009704
28,16865.8,0.64356,0.41317,1.65181,0.96135,0.87091,0.90995,0.75239,0.66096,0.39304,1.62536,0.0009308,0.0009308,0.0009308
29,17532.3,0.62306,0.40889,1.65486,0.95722,0.87169,0.91403,0.77372,0.56505,0.37702,1.6477,0.0008912,0.0008912,0.0008912
