epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,18346.3,0.63132,0.40972,1.64932,0.95938,0.87455,0.91613,0.77675,0.5735,0.37333,1.63045,0.0008516,0.0008516,0.0008516
31,19050,0.61573,0.40273,1.66041,0.95903,0.86683,0.9105,0.76348,0.60239,0.38376,1.63462,0.000812,0.000812,0.000812
32,19810.6,0.61022,0.39907,1.64766,0.96334,0.86504,0.91362,0.77245,0.5847,0.37733,1.63611,0.0007724,0.0007724,0.0007724
33,20138.6,0.61113,0.3952,1.6471,0.95939,0.87281,0.91202,0.75902,0.62251,0.3834,1.62404,0.0007328,0.0007328,0.0007328
34,20421.5,0.60739,0.39648,1.65701,0.9601,0.86667,0.9104,0.74687,0.66333,0.3943,1.61751,0.0006932,0.0006932,0.0006932
35,20700.1,0.60793,0.3966,1.65597,0.96187,0.87014,0.91296,0.76839,0.58401,0.37682,1.64062,0.0006536,0.0006536,0.0006536
36,20983.2,0.59418,0.38898,1.6543,0.96064,0.87026,0.91277,0.77494,0.57889,0.37241,1.64103,0.000614,0.000614,0.000614
37,21270.2,0.60195,0.39184,1.65346,0.96151,0.87038,0.91098,0.74934,0.64887,0.38738,1.61818,0.0005744,0.0005744,0.0005744
38,21557.3,0.59844,0.38986,1.64954,0.96315,0.86851,0.91367,0.77285,0.60164,0.37466,1.62199,0.0005348,0.0005348,0.0005348
39,21842.3,0.59351,0.38584,1.64687,0.96144,0.87298,0.91259,0.77341,0.57359,0.36962,1.63154,0.0004952,0.0004952,0.0004952
40,22124.1,0.58158,0.38199,1.6406,0.95654,0.87486,0.91407,0.75881,0.62308,0.38253,1.62305,0.0004556,0.0004556,0.0004556
41,22352.7,0.53186,0.36792,1.6705,0.9642,0.86842,0.91446,0.77996,0.56602,0.36478,1.63232,0.000416,0.000416,0.000416
42,22574.9,0.51935,0.36057,1.66727,0.96134,0.87285,0.91664,0.79219,0.52751,0.3545,1.63626,0.0003764,0.0003764,0.0003764
43,22796.2,0.5114,0.35492,1.67028,0.96161,0.87157,0.91546,0.79208,0.52776,0.35341,1.63471,0.0003368,0.0003368,0.0003368
44,23018.5,0.51301,0.35584,1.66103,0.96379,0.87376,0.91511,0.77784,0.56336,0.36147,1.62096,0.0002972,0.0002972,0.0002972
45,23240.6,0.51885,0.35539,1.6636,0.96023,0.87586,0.91626,0.78156,0.55959,0.35773,1.62241,0.0002576,0.0002576,0.0002576
46,23463.5,0.50822,0.34893,1.66587,0.962,0.87429,0.91631,0.7863,0.54298,0.3579,1.62658,0.000218,0.000218,0.000218
47,23687.6,0.50499,0.3479,1.6633,0.96293,0.87385,0.91714,0.79417,0.52762,0.34781,1.62736,0.0001784,0.0001784,0.0001784
48,23910.9,0.49761,0.34498,1.65994,0.96201,0.87271,0.91712,0.78398,0.55841,0.35575,1.6146,0.0001388,0.0001388,0.0001388
49,24133.6,0.50572,0.34746,1.66141,0.96303,0.87103,0.91663,0.79189,0.52866,0.35046,1.62754,9.92e-05,9.92e-05,9.92e-05
50,24356.3,0.49914,0.34515,1.65987,0.96252,0.87221,0.91752,0.79104,0.53943,0.34908,1.62275,5.96e-05,5.96e-05,5.96e-05
