epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.492,1.50395,1.86632,1.01032,0.90347,0.71636,0.81211,0.54588,1.06211,1.52937,0.90557,0.000658009,0.000658009,0.000658009
2,1076.84,1.13288,0.77548,0.913,0.92093,0.80552,0.84298,0.58166,1.05928,0.72546,0.93883,0.00128096,0.00128096,0.00128096
3,1681.59,1.07696,0.71548,0.90628,0.9346,0.8244,0.85651,0.59377,0.96047,0.68527,0.87987,0.00185991,0.00185991,0.00185991
4,2287.19,1.06078,0.68817,0.8965,0.93622,0.82364,0.86593,0.65087,0.82652,0.60149,0.86612,0.001802,0.001802,0.001802
5,2894.98,0.99348,0.63892,0.88402,0.93262,0.81786,0.854,0.59599,1.00273,0.63841,0.89999,0.001736,0.001736,0.001736
6,3496.96,1.03432,0.64544,0.89272,0.80035,0.49497,0.64284,0.39862,1.40009,1.40663,0.98041,0.00167,0.00167,0.00167
7,3938.21,1.01691,0.63824,0.88583,0.93874,0.82775,0.86788,0.65451,0.82917,0.58575,0.87303,0.001604,0.001604,0.001604
8,4245.04,0.94514,0.59638,0.8781,0.94245,0.82572,0.86889,0.6865,0.72751,0.51872,0.85306,0.001538,0.001538,0.001538
9,4550.78,0.91366,0.57605,0.87946,0.92093,0.82591,0.86694,0.66374,0.78619,0.56361,0.86666,0.001472,0.001472,0.001472
10,4862.94,0.89566,0.56482,0.87331,0.94344,0.83679,0.87586,0.68267,0.74465,0.50875,0.85414,0.001406,0.001406,0.001406
11,5168.05,0.90841,0.56017,0.87578,0.94889,0.82868,0.87634,0.69026,0.7294,0.51208,0.85017,0.00134,0.00134,0.00134
12,5471.36,0.93319,0.56926,0.87682,0.88343,0.75112,0.81894,0.60641,0.89085,0.65543,0.90805,0.001274,0.001274,0.001274
13,5781.01,0.91936,0.56129,0.87616,0.94311,0.82395,0.8668,0.64857,0.88031,0.57596,0.86996,0.001208,0.001208,0.001208
14,6077.84,0.86945,0.53728,0.87052,0.9442,0.84076,0.8833,0.70376,0.69591,0.48121,0.84758,0.001142,0.001142,0.001142
15,6375.03,0.84171,0.52119,0.86606,0.94035,0.82389,0.86765,0.66594,0.78921,0.52267,0.86244,0.001076,0.001076,0.001076
16,6682.06,0.84016,0.51886,0.86501,0.94678,0.84452,0.88117,0.70381,0.6875,0.46971,0.8488,0.00101,0.00101,0.00101
17,6986.65,0.8467,0.51321,0.86579,0.94699,0.84023,0.88083,0.70642,0.68152,0.47045,0.84492,0.000944,0.000944,0.000944
18,7296.62,0.81514,0.49528,0.86192,0.94699,0.84234,0.88523,0.71279,0.66847,0.44796,0.84285,0.000878,0.000878,0.000878
19,7600.89,0.82472,0.4939,0.8584,0.95161,0.84185,0.8854,0.71104,0.68175,0.44707,0.84509,0.000812,0.000812,0.000812
20,7903.24,0.80504,0.48757,0.86165,0.95438,0.83945,0.88395,0.70183,0.69452,0.4609,0.84856,0.000746,0.000746,0.000746
21,8127.75,0.74342,0.46927,0.85488,0.94907,0.84032,0.88603,0.71508,0.66727,0.4367,0.8429,0.00068,0.00068,0.00068
22,8351.25,0.71661,0.45032,0.84998,0.95652,0.83393,0.88337,0.7156,0.65427,0.43728,0.84375,0.000614,0.000614,0.000614
23,8572.53,0.7182,0.44666,0.85102,0.94421,0.84242,0.88619,0.71094,0.68525,0.44079,0.84478,0.000548,0.000548,0.000548
24,8804.28,0.71773,0.44322,0.84718,0.95575,0.84139,0.88821,0.7228,0.63519,0.43289,0.83684,0.000482,0.000482,0.000482
25,9035.4,0.71077,0.43766,0.84644,0.95381,0.84102,0.88969,0.72764,0.62729,0.41096,0.83775,0.000416,0.000416,0.000416
26,9250.68,0.69264,0.42715,0.84612,0.95778,0.8419,0.89294,0.73312,0.62109,0.4094,0.83524,0.00035,0.00035,0.00035
27,9474.95,0.68996,0.42556,0.84674,0.95047,0.84172,0.88933,0.72155,0.64641,0.40896,0.8376,0.000284,0.000284,0.000284
28,9698.36,0.69319,0.42254,0.84698,0.95543,0.84855,0.89155,0.73137,0.61964,0.40248,0.83753,0.000218,0.000218,0.000218
29,9921.8,0.69008,0.41787,0.8437,0.95458,0.84505,0.89278,0.73293,0.61873,0.39733,0.83453,0.000152,0.000152,0.000152
30,10152.1,0.67292,0.40838,0.84257,0.9495,0.84663,0.89142,0.72953,0.62361,0.40023,0.83673,8.6e-05,8.6e-05,8.6e-05
